GeneSymbol,CCDC69,FGD6,SOX4,LAMC2,TACSTD2,TRIM29,SOX9,TPBG,MET,CEACAM6,COL11A1,S100P,DKK1,F5,COL10A1,KRT7,FN1,SULF1,GPRC5A,TNFRSF21,COL8A1,BACE2,S100A6,FRMD5,Results
GSM2349108,7.192382961,3.201917459,7.059709439,3.780665597,3.441938072,3.592335798,4.417802669,5.44573158,3.746721286,4.635393468,3.512714034,5.793154598,3.420662429,3.85626736,3.253630681,4.731563797,7.487175793,6.834539995,3.767110333,6.463733705,4.236874658,6.563651269,11.74886141,3.766798267,1
GSM2349109,6.966760888,3.366574322,6.487326154,3.685154819,3.269998151,3.213717152,4.411308543,5.128369217,3.750640673,4.896161894,3.446188338,6.833784559,3.289279494,4.197379314,3.169627219,3.868633395,7.280188594,6.285150723,3.367804718,7.429688436,3.542508724,6.005654828,12.35723932,3.196659526,0
GSM2349110,6.974848237,4.007187436,6.239652945,3.999763735,4.12959749,3.452344408,4.620320718,4.63998361,4.10302199,5.729356502,3.762848339,8.069245979,4.383195697,4.57173435,3.460817653,3.910910169,5.571529268,6.326740899,3.468488374,5.875935694,3.797582463,5.582624456,11.49403688,4.019577401,0
GSM2349111,6.934399843,3.617792043,7.104254046,4.090406254,3.763573113,3.334597806,4.867058202,5.015200398,3.879717114,5.34178585,3.887689087,9.365643722,3.807571648,4.685451373,3.446920503,4.020969975,5.99997581,6.230791798,3.700527891,6.121862747,3.958510014,5.464966689,12.04991385,3.236353277,0
GSM2349112,6.726414826,3.94068816,6.572096937,3.971662467,3.796470323,3.509760151,4.373282791,5.206566518,4.210537459,5.706069631,3.77593261,6.12481053,3.685775893,4.576732927,3.673324797,4.495838181,6.772637057,6.072381741,3.903100693,5.408601637,4.023601706,5.555405342,11.4924717,3.46265602,0
GSM2349113,7.266581523,3.223106138,6.465821613,3.75073833,4.045079214,3.267102971,4.207713891,4.638662212,3.91655183,5.395909431,3.570538085,9.493369071,3.206061034,4.810983852,3.051909214,4.290784787,6.105823333,5.778339944,3.526751375,6.579766491,3.756367045,5.52965068,12.21640718,3.543885969,0
GSM2349114,7.138455186,3.763307994,6.769115011,3.882422316,3.561925385,3.446954392,4.56521836,4.90415009,4.163214666,5.078234726,3.594514617,6.222623098,3.285552761,4.541727338,3.173369263,3.744170062,7.029935605,6.293879043,3.277321634,6.376512796,3.709817316,5.488670094,11.97359443,3.185270761,0
GSM2349115,7.05493727,4.195724343,6.595756347,4.398808572,3.88241574,3.654701731,5.051098411,4.930329521,4.123993422,5.920805318,4.370810575,6.438024076,4.390808986,4.490348515,3.920898209,4.5788616,5.774152401,6.7737457,3.872452336,5.223059066,4.082910776,5.386584605,11.55891172,4.153533167,0
GSM2349116,6.756904523,4.67646733,5.655112203,4.678114456,4.335055284,4.142037566,5.25755788,5.192153089,4.162730087,6.526712585,4.549058466,6.52422078,4.354893325,4.991926898,3.982661694,4.808675488,4.944517326,6.508500719,4.065378195,5.029953724,4.280671022,6.215645058,8.944740786,4.942007609,0
GSM2349117,6.573842202,3.769872487,7.420069298,3.745156139,3.359728832,3.426634101,3.799648301,7.812634934,5.078989576,4.846902982,3.293616243,5.226069118,3.46874625,4.118898377,3.016622684,6.67080227,6.785433189,9.822685787,3.864098277,7.135299841,4.051657903,6.058697875,11.80247391,3.147399243,0
GSM2349118,7.829039583,3.480751283,7.11967033,3.243851201,3.067566725,3.166694068,3.875275906,5.618195325,3.650246403,4.046934959,3.087524879,4.872553442,3.135087668,3.55661819,2.699319504,3.622319203,7.274747943,5.954107217,3.131270219,7.409052744,4.107267153,5.964330319,12.18298098,2.974141544,0
GSM2349119,6.967810598,3.344992771,7.865565487,3.799004956,2.903382356,3.106527128,4.198703682,5.704550319,4.328479909,4.241884461,2.816986821,7.610060029,3.871138711,4.276327682,2.803466848,3.987782922,6.339767956,6.548706659,3.354440709,7.333877225,3.144356856,6.314573394,11.20500368,3.040172578,0
GSM2349120,7.885124354,3.698782649,7.033750934,3.354801207,3.173914713,3.042740638,3.992711514,5.726749572,3.816676713,3.945569683,3.349392671,4.839390623,3.287568652,3.314875472,2.610481657,3.552804415,7.123003117,6.007187799,3.03039004,7.548577207,4.286128716,6.10658897,11.93179543,2.814298586,0
GSM2349121,7.348436384,3.292948076,7.499453027,3.623045497,3.128777995,3.009492163,4.204831639,5.550820567,3.657419423,4.279838687,3.100139962,5.611420677,3.431945191,3.447499055,2.78377543,3.899909419,6.790766028,6.51820259,3.086438058,7.416638019,3.387708644,6.336567733,11.71333337,3.039990264,0
GSM2349122,6.779993624,3.377410816,7.608231758,3.331651742,2.942177846,3.466580722,3.947732532,7.767530716,4.569494752,4.369889255,2.743927618,7.890847704,3.242616292,3.648422021,2.686347066,6.480912099,7.227136492,8.805550314,4.962329424,6.886801151,4.100484408,6.298424774,11.48254883,2.862322745,0
GSM2349123,8.076516319,3.155756179,6.689774258,3.55324483,3.271873291,3.190893099,4.703492742,5.498111786,3.905620683,4.263529529,2.917977958,6.335744673,3.617639292,3.747545337,2.870845904,3.499551596,6.972353133,5.994203366,5.985881267,6.963177127,3.844125544,6.207886818,11.79248702,2.890554714,0
GSM2349124,7.21772111,3.553220134,7.591297598,3.509610893,3.095445051,3.771686328,4.605651228,7.03274241,4.156872812,4.303629597,2.965717483,5.580227336,3.265872146,3.623164663,2.905041942,7.063602095,7.253733052,8.14058741,3.940738552,7.274035661,4.12853437,6.346413851,11.76310906,3.191706461,1
GSM2349125,6.806992338,4.118109682,7.197319352,3.42092707,3.177722979,3.432258374,4.359534643,5.883367857,3.708568003,4.541547199,2.935643975,5.563128174,3.523611992,3.774771753,2.931333922,5.560625202,7.996143476,6.861560678,3.263365737,6.869115828,3.635304828,6.05780825,11.95888228,3.292202774,1
GSM2349126,6.553674194,4.142751096,7.098136897,3.667282193,3.170128743,3.636911023,4.223473397,7.632680277,4.835637521,4.686677843,3.55839968,4.92979782,3.467818415,4.499346306,3.106902857,7.144048844,7.453632345,10.00431903,3.659514839,6.217957633,4.340398127,6.069933977,11.8191773,3.071819114,1
GSM2349127,6.510517558,3.993740415,6.751539945,4.181857858,3.99945627,3.262244346,4.173990307,4.208822677,3.677872437,5.102695191,3.728288771,5.261576144,3.787032497,4.706700177,3.151045097,4.287705768,4.959318777,5.662925855,3.41982296,5.263890804,3.615015641,6.075041854,10.55014746,3.342343396,1
