ID,X1553102_a_at,X1555136_at,X1555137_a_at,X201417_at,X202267_at,X202286_s_at,X202504_at,X202935_s_at,X203476_at,X203510_at,X203757_s_at,X204320_at,X204351_at,X204602_at,X204713_s_at,X205941_s_at,X209016_s_at,X211719_x_at,X212354_at,X212444_at,X212464_s_at,X216442_x_at,X218856_at,X219901_at,X226237_at,X227051_at,X228923_at,X229479_at,X230831_at,X241137_at,X242397_at,group
GSM388128.CEL.gz,5.981715331,3.595237643,5.297675948,8.893978423,5.991159358,8.088503089,5.918709914,6.675757463,9.106699481,6.848846538,9.7026126,5.450589249,8.746564495,6.76608713,8.828897001,7.752086116,4.533193308,11.74175241,9.55289683,8.146860796,11.45671105,11.81334126,9.219256759,6.299000187,10.46650586,5.881106284,5.089595088,3.716522947,3.669716782,3.928288393,5.012018543,Tumor
GSM388129.CEL.gz,5.176075306,5.025642142,6.892289453,10.21471348,11.74272006,11.90613303,5.938015444,10.58226661,9.470694615,9.201534737,7.461744441,9.615531634,10.99831082,8.133577739,6.118221586,11.07446274,10.29949807,13.24773916,11.223985,10.16821316,13.18944075,13.51170881,11.71907839,7.621671795,10.17440573,6.758570095,6.316321454,8.328541389,5.283768373,3.621249151,5.807264332,Tumor
GSM388130.CEL.gz,6.866195085,4.021401202,5.212711617,9.455065581,6.246153563,8.692665399,6.618521129,7.597930676,8.874593808,8.036977386,8.054988499,5.520670906,7.500364044,3.497332251,5.167901422,8.315824779,5.716190971,11.56023174,9.272565857,8.111041442,11.3117842,11.54942334,9.059136661,6.447880266,9.79506881,6.582235007,5.031879957,3.609325328,3.879526782,3.493288704,5.612873166,Tumor
GSM388131.CEL.gz,5.956501261,3.921371924,5.921438453,9.427850675,8.429634539,11.39854487,6.598177221,9.09695616,9.205086966,8.278650567,10.53315928,7.675528443,8.05304737,3.967357264,6.683371269,10.50801704,8.340761729,12.70579808,10.99620023,7.135462079,12.41167737,12.82917008,10.10925958,6.597562052,10.31577938,7.694921303,4.46479023,6.648581612,3.986810287,4.177205058,8.242485656,Tumor
GSM388132.CEL.gz,5.377971675,4.370866325,6.578410463,9.469376852,9.481111675,11.83580929,6.551845546,10.30668064,9.02576098,9.833361989,9.667602944,7.153171587,11.06001033,7.145716199,6.538025347,10.52400919,8.962593638,12.46350666,10.5356468,8.937277786,12.16330195,12.50513752,10.78648184,7.447870596,9.527141672,7.508524519,5.953364601,4.73288291,4.03696015,3.903636833,8.326997276,Tumor
GSM388133.CEL.gz,5.636574272,4.58385335,6.352630059,10.51774219,8.506471299,11.99727424,6.534467336,10.75148293,9.26616617,8.601708463,9.511537428,8.775783959,8.087323917,5.171130251,6.137735237,10.75211088,9.112309542,12.71570925,10.77815975,6.824598643,12.4184089,12.71443113,10.30014217,7.186876268,10.2621452,7.568089787,5.164730987,7.01173282,4.125972638,4.472959944,9.603532895,Tumor
GSM388134.CEL.gz,6.079455031,4.012178607,5.522803137,9.421607059,7.270457124,11.2243297,5.788008053,9.931783283,8.683218059,7.6141012,7.204396907,7.691507842,6.67931478,4.536060843,6.0267674,9.91853538,7.729065578,12.10877113,9.826747534,6.315179541,11.7906394,12.09714474,10.09002184,5.823782763,9.884675093,7.040482121,4.214612092,5.236216527,3.714407901,3.710033328,8.040957315,Tumor
GSM388135.CEL.gz,5.217430506,4.589891802,6.124482964,9.475730019,8.554364721,11.50618016,8.577369263,9.628869356,9.023510012,8.932006073,12.86543665,6.672650087,11.77530985,7.068376017,7.661450305,10.78161107,8.790742967,12.37443744,10.34535304,9.176519758,11.99019418,12.28505935,10.47763441,6.807170498,9.721823303,8.462174116,6.801742542,5.627019041,4.443658716,6.739613451,6.759772467,Tumor
GSM388136.CEL.gz,6.747572879,5.108852561,6.035145712,10.14731253,9.224303749,11.68512857,5.712021725,9.428892767,9.724084887,8.299615347,9.097715768,9.634209847,7.128249439,5.779962178,5.592619346,11.03353198,9.559887102,13.38308435,11.73586142,8.05447565,13.26212444,13.6042511,9.593853603,6.964312356,11.09589884,7.877480548,4.864350863,8.130239354,5.055918538,4.348738617,8.61184463,Tumor
GSM388137.CEL.gz,5.228218358,6.593725122,8.376645435,10.19400978,10.96909716,11.84542141,8.632007757,10.06935228,10.87640226,4.554083686,8.890642076,9.185571,8.947318407,8.965461456,5.5828302,9.133411983,11.6515943,13.44959319,10.31851508,9.112290579,13.32378194,13.73593653,9.959009694,8.841032379,9.950850922,7.244956624,6.592160513,8.690673551,5.233395978,3.962381499,7.516256328,Tumor
GSM388138.CEL.gz,5.007103706,5.202368981,7.678220843,10.39522869,11.7925215,12.19236583,8.600294644,9.765563403,10.34976102,10.47686299,12.00762687,10.02999268,11.69269017,9.257396468,5.449446629,10.72651954,9.990517758,13.35404239,11.47033521,9.651484851,13.48086163,13.55034308,11.18887188,8.047815033,10.27015916,7.191255294,6.811228089,8.9082881,7.055706631,4.584820186,5.986519875,Tumor
GSM388139.CEL.gz,5.522887017,4.361094688,6.18226875,9.818736437,9.027052538,11.44569027,9.268082698,10.11529997,9.914814375,10.18285869,13.36575353,8.134101532,12.00538543,8.836124961,8.363620623,11.21529322,8.983816545,12.82571165,11.07534555,10.79140848,12.54145516,12.95987147,10.53583174,6.79306748,9.948978129,7.645507,7.098769657,6.488677758,5.470920334,7.504593268,8.545863436,Tumor
GSM388140.CEL.gz,6.198172807,3.684260475,5.657513854,9.280737287,8.180594844,11.45524109,7.291882226,9.651756072,8.842521115,9.069164614,12.68880741,7.132544898,11.17535637,5.126866048,9.142774585,9.206393747,7.84264084,12.02550979,9.770533933,8.88214349,11.71914356,12.04027087,10.08578436,6.344145106,8.893471405,7.939568544,5.58377802,4.695309162,4.097091454,5.741465958,6.432074496,Tumor
GSM388141.CEL.gz,6.65636485,5.236285776,6.705066217,9.715336992,10.01950745,10.8724859,6.963661112,9.245602241,9.409365576,10.0163496,11.64252291,6.951003224,10.23459941,7.355681686,7.469376463,10.7318952,10.64402777,12.83533645,10.94772524,8.229355466,12.57832816,12.86359523,10.04838847,7.224660338,10.56948064,6.200123616,5.14028977,7.173631451,4.475450663,7.067408048,7.876844688,Tumor
GSM388142.CEL.gz,5.182398477,6.729360929,7.712791558,10.23530121,10.17393201,13.06448335,10.0618071,10.34755107,9.311427626,10.38661782,12.85061574,9.53055922,11.59460149,8.777551016,7.262573436,10.64666031,10.47697144,13.21447869,11.4690072,10.29447386,12.95127464,13.25481017,11.7388039,8.386019617,10.16499984,7.698868993,6.394871528,6.669746607,4.778581118,7.964887957,8.022127392,Tumor
GSM388143.CEL.gz,4.929307054,4.107941567,6.20844522,9.807480939,10.06561726,12.5918462,10.57192981,10.68375542,9.166037787,9.553258998,11.57546255,8.96624117,12.81127459,5.75432847,8.49448896,11.44890703,8.885705907,12.94795729,11.01739544,9.746023708,12.66003289,13.01941252,10.25481596,6.953819886,10.155872,8.104241604,7.63706601,6.554796096,5.529071834,9.086484599,9.73212215,Tumor
GSM388144.CEL.gz,4.610461151,6.608021087,6.681205106,10.19340011,10.57844401,12.07182987,8.954241074,10.91830208,9.752930841,9.660591418,12.92310877,11.31863427,12.02410037,8.120806052,7.409203685,11.95100941,10.16157699,13.48263712,11.42031685,10.28953048,13.48911853,13.57216392,11.17300043,7.831630212,11.51300582,7.027988436,8.072971003,7.833496365,4.83602164,6.643504793,7.525677331,Tumor
GSM388145.CEL.gz,6.429475247,3.692966913,5.466017206,9.251891491,7.443438978,11.18474758,7.653103592,9.357059257,8.48679256,8.001632001,8.460855185,7.017079664,7.182413713,4.547688251,5.960249046,9.076265852,7.043855558,12.25105729,9.973237354,6.896856171,11.96332365,12.24914788,9.393641566,6.041429709,8.877612129,6.686503343,4.419533796,5.107461317,3.594384429,4.55442775,7.693934037,Tumor
GSM388146.CEL.gz,4.918327585,5.206648596,6.74178824,9.91992098,8.485346309,10.08261987,8.719858342,9.940898476,9.344406178,9.635648868,12.98419441,9.217230475,12.14096343,5.028551447,8.632438825,11.84843977,8.516475402,12.91224681,10.99410703,10.0077449,12.62432989,12.98824884,10.33422496,7.357855143,10.49954989,9.109259989,9.353751221,6.444436515,3.744007317,8.032264472,8.25698945,Tumor
GSM388147.CEL.gz,6.25749235,5.94581109,7.247176504,9.966120652,9.795947813,11.91423691,6.764224207,10.13462285,9.092165373,9.256803233,10.99663206,8.443354081,10.60407535,5.369794146,8.764434155,10.27684543,8.272959794,12.77291601,10.95122366,9.168332919,12.47257081,12.84702467,10.31308856,7.86841269,10.04222287,7.506787955,7.36037355,6.486534016,4.235009098,5.599722144,9.094443344,Tumor
GSM388148.CEL.gz,6.079325221,4.352634419,5.819382889,9.487398002,8.008051474,11.47843762,6.516755445,9.739928995,8.582476889,8.675943055,9.804302819,5.463667951,10.67822226,6.595182118,6.137439895,8.051457966,8.368619003,11.47736281,9.410076001,8.849859899,11.1616642,11.47621465,10.02780431,6.540609516,8.848972791,7.274889484,5.739798458,4.689001556,4.359304906,7.78063802,6.444841901,Tumor
GSM388149.CEL.gz,6.540994283,3.944376636,5.517110773,9.879349686,8.042653542,10.83974705,7.857518076,9.49889405,9.432923634,8.595108508,5.996129157,10.9144603,12.01830715,5.644121277,5.932233717,11.80646256,9.170417613,13.60895167,12.20739704,9.240652684,13.69669873,13.76978732,10.55849299,6.362375711,11.23553851,8.094480191,5.387429516,8.318960477,4.622903169,9.591940166,7.978151994,Tumor
GSM388150.CEL.gz,5.961604044,5.076421423,6.234052362,9.917694212,9.288956942,11.93981391,9.650339638,9.436131495,9.55699339,9.23445062,12.94989402,9.521231866,10.56424362,4.891810228,7.079088791,11.91508789,9.018841398,13.17202957,11.12201924,9.266731843,13.12394553,13.23789371,10.04751959,7.253682349,10.81730081,8.353819082,6.393917421,6.8631102,5.104675535,6.916754072,6.927962854,Tumor
GSM388151.CEL.gz,6.751342658,3.877901058,5.962713604,9.275572725,10.21571871,10.48794651,8.69404898,8.103723671,9.364424516,8.378102193,4.737939517,5.1316231,9.990018816,8.494331178,6.177027765,9.081758206,7.020465058,12.57001221,10.56712882,8.903348875,12.27398357,12.58908556,10.24547172,6.478956277,9.884010921,6.795598,5.041605591,7.02752617,3.518328289,7.799304864,7.138527231,Tumor
GSM388152.CEL.gz,6.48520561,4.526640434,6.567976538,10.00730301,10.34472322,11.70782301,7.865194216,9.061868671,9.741623836,9.580281462,11.71232175,9.968860261,9.44450599,5.503329798,5.996721451,11.18284745,9.067049779,13.15999157,11.34673305,8.363641306,13.08182728,13.25731342,10.28943327,7.206612579,11.36472643,6.736462475,6.080406084,7.880510107,4.41120268,4.19286517,8.595561095,Tumor
GSM388153.CEL.gz,6.553981365,3.8336878,5.419053898,9.604524468,8.700889702,11.13823491,6.753545454,8.932398126,8.914748011,8.232572939,8.889404702,7.986378106,10.14900252,4.735928007,6.290870821,9.724094972,7.756477126,12.60130268,10.4651975,8.238917361,12.2772314,12.59216072,9.549549663,6.159701556,9.5559276,6.463462805,5.16323236,5.859364178,3.879481962,4.054338285,6.114561981,Tumor
GSM414924.cel.gz,5.636657854,5.519409152,6.104092475,9.974283431,9.38511808,11.212755,9.00698196,10.44854375,9.748603934,9.581700019,13.16510339,8.613711703,12.36388603,4.38902529,9.211247122,9.913795387,9.504790132,12.21872939,9.750267849,9.840154022,11.77611466,12.07505095,10.7964069,6.941799275,8.752704336,7.518687239,7.899498175,5.533175856,4.254353596,8.207588743,7.308542795,Tumor
GSM414925.cel.gz,6.77990731,6.173195037,6.904938456,10.72401063,9.962761724,13.27162253,10.39615429,9.917641778,10.40113944,10.8119033,13.77083311,10.42880138,12.65559882,5.220300918,6.630024469,10.66706139,10.72346924,13.16663861,10.56089171,10.48740572,12.89058652,13.1844309,10.7834372,7.512375841,9.835166353,7.138189936,6.989100169,7.656821105,4.254401268,9.726619308,7.475325286,Tumor
GSM414926.cel.gz,6.301942132,5.482565651,6.221732899,9.741273447,10.27316588,12.70070115,9.858473636,10.22280919,9.394513994,11.14022388,13.36781408,8.328739165,11.99086857,10.76158763,9.685201566,8.497212254,10.60490501,11.74243129,8.882481067,10.61076801,11.28307996,11.68255144,10.90187109,7.133780819,7.637494939,7.774677511,8.175199895,5.774334948,5.444540301,6.569996293,4.860683384,Tumor
GSM414927.cel.gz,7.20164905,3.861660695,4.625856191,8.778984049,5.010710285,10.37838333,5.357754732,9.264145224,8.295285538,7.951760424,10.42929766,4.468189502,7.212682392,3.48170202,7.082937729,5.659752577,6.49992082,10.31653351,6.297808168,5.375349914,9.75259348,9.987462018,8.932278573,5.550069374,6.921668034,6.297205896,3.929771479,3.010780497,3.632173856,3.653448745,4.790097794,Tumor
GSM414928.cel.gz,7.120286616,4.174305057,5.1278807,8.752526613,5.140552137,10.76283715,4.537453012,9.185286881,8.707452029,8.264852128,11.15557226,3.375260599,4.554270025,4.120076727,7.750123083,5.507951544,7.067638175,10.66163323,7.082096416,5.20248614,10.05984818,10.29049344,9.024579989,5.467006393,6.204795014,6.78243504,3.554839713,3.077280222,3.455774926,3.550418643,5.272483095,Normal
GSM414929.cel.gz,6.57637772,4.687483738,5.916476489,9.95584845,7.18028973,12.18688775,10.10099134,9.384055075,9.136740169,9.727628942,12.50692854,7.45959479,13.53793859,9.920603201,7.685136411,8.768990753,10.01257356,11.92172127,10.02761238,11.37556319,11.49879263,11.8423673,10.66983923,6.544424196,8.699315445,9.047477589,6.429026313,4.163277874,5.534390502,11.40514991,3.572116943,Tumor
GSM414930.cel.gz,7.163282147,3.813437575,3.93509522,7.852395067,5.198154306,10.44799826,5.198850658,9.151745217,8.318270569,7.930872223,7.044346036,3.728481448,5.352858755,4.290634664,5.782496275,4.034163854,6.270567378,9.163655046,5.836811484,6.809130179,8.475655422,9.156631225,9.057161934,4.710488006,4.745751949,5.510414118,3.862254447,2.878797854,2.771583899,3.814404984,5.000378951,Normal
GSM414931.cel.gz,4.478531545,6.587334637,6.711765857,10.36221286,10.33407841,12.34089221,10.55158863,9.164426218,9.880750244,10.46442385,11.61523517,10.1973914,11.80942994,8.193094291,8.170367822,11.05706416,9.472577076,13.35402971,10.80166682,10.67484407,13.22270619,13.45193145,11.01670995,7.373486228,10.57969331,6.937593444,7.077638051,7.59456602,4.973634052,9.288713587,5.825552721,Tumor
GSM414932.cel.gz,6.695040123,4.956071798,5.817295782,10.31585528,7.394799555,11.28521246,5.463834378,8.922271664,9.15561702,8.665366814,10.11689452,8.660090177,6.120000809,4.89083196,6.684409963,10.45949555,9.007615711,12.94169538,11.16317844,6.618277814,12.69771326,13.01471886,9.689598245,6.433720381,9.839930504,7.057209554,4.389787687,6.452079251,3.824984497,4.295624815,8.311964516,Normal
GSM414933.cel.gz,4.493128274,4.976971427,5.140356324,9.640647718,9.327339545,12.01046917,8.725054494,10.31918645,9.759848003,10.12842665,9.839354863,10.56087836,11.88631733,8.521726279,8.890552318,10.20569071,8.66509426,12.86619631,9.960456611,9.926854045,12.67835747,12.8726546,10.55499453,6.363664335,8.985800589,6.539477881,8.630247338,8.146739454,5.279735162,6.182178709,6.589887239,Tumor
GSM414934.cel.gz,6.943023192,3.451855214,3.762664308,8.991681194,4.630337156,7.1631868,4.103101071,5.12519102,9.366989859,6.850379751,3.637923143,8.674749848,4.850361522,3.85168163,6.152976551,8.731073844,3.054491226,12.2864238,9.394791802,6.495054803,11.92588715,12.19601214,8.285308509,4.231639865,10.71134008,5.851130576,4.03980254,4.738240722,3.084226132,4.194058619,4.272487774,Normal
