"ID","X1553102_a_at","X1555136_at","X1555137_a_at","X201417_at","X202267_at","X202286_s_at","X202504_at","X202935_s_at","X203476_at","X203510_at","X203757_s_at","X204320_at","X204351_at","X204602_at","X204713_s_at","X205941_s_at","X209016_s_at","X211719_x_at","X212354_at","X212444_at","X212464_s_at","X216442_x_at","X218856_at","X219901_at","X226237_at","X227051_at","X228923_at","X229479_at","X230831_at","X241137_at","X242397_at"
"GSM388112.CEL.gz",0.480292083047852,-1.05196153217585,-0.658276441947412,-1.73681078561607,-0.914758319590405,-0.402597506116759,-0.996203059717811,-0.34651886810183,-1.86885208873414,-1.11499583812981,-1.43435656536422,-1.33317019082107,-1.17121454273617,-1.36785712691219,-0.904663270547127,-1.02172983101817,-0.81346914247922,-2.04627867328951,-1.69050663374691,-1.26460364008908,-1.81664714145814,-2.02047620211812,-1.48345720050943,-0.424055390766539,-1.42347251671349,-1.28260887322161,-0.829852845080544,-1.2170906840876,-0.866012816171738,-0.963284897268304,-1.14391418749446
"GSM388113.CEL.gz",0.541347860240395,-0.909366392486875,-1.03620660904242,-1.3303319143768,-0.392413839568101,-0.0981318750770006,-0.59840100473022,-0.318916567564377,-1.19521092954079,-0.951689473218358,-0.449117058918318,-0.906183698683041,0.0977066147854102,-0.873174876115434,-0.55474484414933,-0.864781064603611,-0.595944531534498,-1.08603287705327,-1.19638670719041,-0.728459265229719,-1.13991931888354,-0.995917917342136,-0.95805827307882,-0.461999321404399,-1.13717257640416,-1.13567689080648,-0.8020465935922,-1.13765440276061,-0.731096474821327,-0.516920457825966,-0.644120730681794
"GSM388114.CEL.gz",1.49291153182087,-1.2693574279978,-0.772495173324159,-1.62850393744934,-0.728238690847116,-2.86659854310099,-1.30560932907732,-3.26547526411982,-1.09883633888987,-0.922757614654084,-1.78131609607184,-1.42659793611327,-1.36534487715631,-1.08939348768744,-1.01821310363613,-1.49790449844343,-1.92948781469762,-1.46142182723468,-1.20758943518786,-1.6167809500802,-1.47186017137902,-1.53465338165177,-0.893493368400678,-0.753314540596437,-1.65238142730015,0.243987065723315,-1.00107990132961,-1.12104392461281,-1.19049215196061,-1.06036045442303,-1.14137823061796
"GSM388115.CEL.gz",-0.0920433508278151,0.0285537443965771,0.797432817274137,0.130170778299716,2.40443031819084,0.817845697835522,1.05919033541471,-0.691248689364453,0.985192658357336,0.541196128105696,-1.34217549873265,0.716233857034342,0.100219635638655,0.532202098300932,-1.1597464032904,0.524640779419489,0.00768654942714768,0.829060505809782,0.785266093333912,0.0152532453665782,0.972481079248859,0.873386207006962,1.31808876574877,0.915746479588068,0.271540535129568,-0.648320124609004,0.0268287162325289,0.783886320597299,-0.524765354024257,-1.14193494021724,0.936348539354228
"GSM388116.CEL.gz",0.0615284592045464,0.162125527158307,1.61925895385354,-0.0025413098283186,2.32993539233306,0.836783647808817,0.930320619199862,-0.611590062876729,1.15124441682312,0.601299196783163,-1.20750849365363,0.805225373139576,0.0282055631012982,0.787199390668607,-1.31724157948974,0.384023444223983,0.263768591137283,0.846900116504457,0.841095105560879,0.0664974088100137,0.981380730885974,0.894231082641943,1.29867560273479,1.11797663643119,0.386812789476325,-0.0351750415469827,-0.125817083498526,0.896958612646373,-0.514530468101343,-1.06885275372614,1.0001619816005
"GSM388117.CEL.gz",-0.705895754990379,0.216770771442434,1.52612972047464,1.06768823101893,1.0442788132663,1.08645216417964,-0.169383542013702,1.07619482419769,0.98164919848755,0.278323478451645,1.15963218906071,0.845233476474808,1.17874193298003,-0.33235319348727,1.91056646938249,1.27590462958554,0.389321554350315,0.915537849286716,1.12896593306742,0.229616956959809,0.877893668854256,0.971158724846476,1.02602193076402,1.19065784648304,0.854919415383106,1.84233633088695,0.930965546179332,1.50224329106054,0.617413708255183,0.137459832778348,0.649914395898428
"GSM388119.CEL.gz",-1.26955971300651,1.22003858060196,1.70155349143916,1.15967040728282,1.20225526894007,0.301077191507447,0.890879836795259,1.24983575662824,0.257178853521038,0.51069455197637,1.11872960037426,0.380218899471786,0.759070136041401,1.5384533852359,0.362530120789265,1.01029227944426,0.746699837940915,0.767401759977364,0.866682901062352,0.636729161327988,0.755344101546036,0.803331676114045,0.864276965406195,1.64917971127122,0.584124825371237,1.03601583296051,0.415895962616555,1.06851241005052,1.14887923133577,-0.607410588409519,1.99242589607677
"GSM388120.CEL.gz",-0.668170742756119,0.949612235873279,1.78892133494723,0.489808649149586,1.30568418818657,0.209318136300455,0.822018323171952,1.10302771558942,0.286639515398167,0.558392116026516,1.12661296072778,0.501462000277015,0.79494955810835,1.50098775035032,0.174090723163202,0.863954112235981,0.680390803129085,0.801476586192872,0.867479722968594,0.84928842383576,0.871017765330793,0.866290471361601,0.938345465329355,1.74773037922453,0.566131945231915,1.10126779050828,0.450408971712868,1.10963681499876,1.50518047274991,-0.475424842024085,1.78695189989823
"GSM388122.CEL.gz",0.114772628234039,-0.985524622512106,-0.292927999902044,-0.561802729558892,-0.358543761391891,-0.305204304365689,-0.604210807034758,-1.10761894270044,0.310202222678114,-0.838228438310754,0.0891854933459581,-0.347386157221196,-1.02805256792612,0.210395566936593,-0.60383875533488,-0.150816055509786,-0.594569497954241,0.503464843087736,0.576259740547184,0.465144493491215,0.520868494330957,0.497602485302089,-0.00809554926907067,-0.404364209638122,0.958731122669766,0.1895588465344,0.153982998814933,0.199674595350496,-0.277983369119206,-0.982841184910005,-0.0444372215967213
"GSM388123.CEL.gz",0.42883658013296,-1.03628791062564,-0.530194961018887,-0.646530824315479,-0.471567860780284,-0.187619987211039,-0.954512835827489,-0.0595453749763684,-0.159185484401563,-0.852943579780916,-1.64437023959049,-0.822426677807017,-0.468952729163072,-0.506065496924003,-0.562992080052298,-1.04523161718826,-0.471549298258685,0.680355215073702,0.34045683075437,0.00608210762806723,0.640289340400769,0.679268662752269,-0.692255759771565,-0.873358378694442,0.45691716927355,0.615062584085524,-0.530387092987112,-0.320869282996576,-0.513317062364791,-0.847884612076491,-0.303933484959247
