ID,X1555137_a_at,X1559360_at,X201250_s_at,X201286_at,X201417_at,X201590_x_at,X202267_at,X202403_s_at,X202504_at,X202935_s_at,X203074_at,X203083_at,X203476_at,X203510_at,X204351_at,X204602_at,X204713_s_at,X205266_at,X205780_at,X205927_s_at,X207714_s_at,X209114_at,X209173_at,X211657_at,X211719_x_at,X212236_x_at,X212354_at,X212886_at,X212942_s_at,X216442_x_at,X217428_s_at,X219901_at,X228923_at,X228933_at,X229553_at,X232202_at,X233090_at,X235629_at,X236129_at,X33323_r_at,group
GSM414938.cel.gz,4.309521491,3.610973931,4.937739663,7.886452622,8.506821296,12.37934024,4.016541221,10.69886741,4.740524082,7.868814631,5.251326473,7.04504314,7.702399676,8.124770299,7.099390076,3.373010459,5.593724708,5.993681505,6.690190666,11.16058955,6.852000578,8.139927952,11.65550337,9.326557513,10.81540245,6.230232012,7.698091817,8.211614545,4.344107912,10.75995609,3.132983967,5.12708392,4.126501201,5.406102399,5.721116914,7.369714587,4.636843339,5.22354334,4.258183853,10.62446391,Normal
GSM414939.cel.gz,5.67120404,5.030663382,9.521983866,9.45168895,10.48809672,13.26151093,8.620021671,13.57113898,10.73543715,8.823217992,8.864663963,10.90064856,9.204157833,9.615352928,11.92901826,6.787606238,5.75688122,7.551587307,8.589185863,10.49783881,9.466000729,9.323166036,12.55750346,11.59068107,13.15457667,11.50035643,10.78939925,6.84791561,7.195851709,13.26895813,10.07163083,6.567448325,6.962163237,6.765227748,8.0049724,6.621966223,6.347509617,8.163933739,4.642623323,10.41578369,Tumor
GSM414940.cel.gz,4.689486363,4.809084314,5.602298694,6.553614867,9.473084975,12.50121159,6.312877313,13.27145621,5.031407968,8.209588461,5.973776026,10.20256049,8.582404589,8.019769869,7.435484919,4.475810686,7.283246847,6.582140364,6.691383893,8.82986891,8.436207896,6.711308191,8.432705584,9.90835952,12.09652881,7.641615163,9.205663774,7.73432338,5.850521562,12.01754582,8.518027362,5.582720597,4.36972034,6.463259571,6.825987297,4.415107791,7.017134212,7.237296748,3.01274993,7.315937811,Normal
GSM414941.cel.gz,6.582741255,6.402436388,7.460987261,8.469686976,10.23711439,13.03894304,8.731599217,13.2723168,10.29986946,9.253194572,8.726679075,10.82450361,9.061061999,10.0917999,11.37615605,7.159960323,9.541274714,8.417923705,8.15399047,12.05940342,8.431631135,10.59587999,12.70579654,12.67334406,12.77890398,8.785572419,10.3049088,6.106922703,7.95434698,12.76586479,10.64689351,7.203111612,7.719498697,7.088043694,7.948656018,6.301404016,6.220811524,8.361728699,7.247626215,11.03515295,Tumor
GSM414942.cel.gz,5.098464693,3.769277068,5.585384415,6.057659919,8.207114677,11.39483697,4.271670035,10.55254253,6.412683802,7.892795927,6.295213986,7.359616283,7.899520473,7.538627033,4.969946255,3.63940044,6.384867604,6.110961749,5.485631035,5.389989096,6.464544008,5.507644759,8.59379702,7.338260032,9.247066631,6.136291766,5.24430561,8.184690201,3.787179863,9.2310478,3.987482376,5.694930913,4.108172403,3.85168163,7.03223542,4.354453576,4.575944046,4.161582707,3.238033752,5.006073782,Normal
GSM414943.cel.gz,6.391901049,5.027956558,7.852320058,8.516392747,10.68728289,12.67294453,9.084897514,13.78900163,10.86733917,9.13867766,8.848972778,11.00680735,9.343936853,10.5536088,10.69832475,9.418853701,7.776856797,8.180330324,7.582601772,11.72587647,9.028143301,9.585922927,11.56913949,12.64343112,13.22761406,9.314188181,11.6851096,6.921316225,8.967511328,13.2354553,10.87937827,6.910703609,7.452019494,6.441319654,8.130901059,5.461368061,6.8334729,7.387035331,7.083671656,10.40351751,Tumor
GSM414944.cel.gz,6.61328552,7.719684255,8.347399228,8.778344162,8.810270705,13.50133643,10.84416725,12.49350786,9.568467593,9.072054127,11.03727678,9.84907316,9.232399533,11.72690425,10.43453581,10.3442371,5.98749685,5.591948451,7.829134065,12.391284,9.415016357,6.921463554,12.48650643,7.702135012,12.24594598,11.44172779,8.463184504,6.140525632,7.031483369,12.28208086,9.282732743,7.30088443,6.822837456,7.145702364,5.246939783,4.549242898,5.154396883,6.332695539,6.17862491,10.2760477,Tumor
GSM414945.cel.gz,7.065936267,5.860526833,7.632401509,7.632511098,10.36860951,11.6229375,4.878809812,11.54217381,4.432059292,9.368142884,4.972668121,7.943266428,9.078792124,9.423404484,4.225990221,11.17287265,8.005553242,4.72673532,6.695719788,6.919381771,7.893446739,5.447555207,10.31953489,5.781372443,13.24171178,6.521013976,7.632019128,6.136477264,4.868968302,13.30321131,6.655006331,7.504321594,3.393365469,4.646154966,6.231866136,6.042824208,7.512093814,9.400297416,2.619139982,4.89704849,Tumor
GSM414946.cel.gz,6.62217965,4.673908975,7.460274029,7.945021074,10.81571782,13.27371325,9.895381366,13.57507961,10.6923949,10.07601277,9.076365682,11.01517495,9.84728645,11.6616456,10.29583029,8.236470011,7.557502303,8.233811095,8.883303844,11.26901339,8.247179281,8.518861542,11.05192061,12.66048291,12.62995547,10.36547171,10.36450178,6.422467373,6.784505317,12.52744719,9.936778191,7.470503287,6.78950741,7.120648582,9.272416447,6.853338618,6.365462567,7.898670767,7.99053793,10.57591575,Tumor
GSM414947.cel.gz,4.07367958,3.947997502,5.864536189,6.632261213,8.216190472,11.6590601,5.824484883,11.64413992,6.347606835,8.47866478,6.865914785,8.009967421,8.049869679,7.964486028,9.013759072,4.568782568,6.453428517,5.820978327,6.131556172,9.728388112,6.869175915,6.663897693,9.875034521,9.102155574,9.606465492,6.829808817,6.395559159,7.318072328,5.017056235,9.421609481,6.30677946,5.155097135,4.109827988,4.432589649,6.757735728,4.734178919,5.094783485,4.484769063,3.780562679,6.755401263,Normal
